ID,ID da Roupa,Idade,Título,Texto da Avaliação,Avaliação,Indicação de Recomendação,Contagem de Feedbacks Positivos,Nome da Divisão,Nome do Departamento,Nome da Classe
19,1077,47,Elegante e confortável,"Eu amo a aparência deste vestido de tule. eu estava procurando algo diferente, mas não exagerado para a véspera de ano novo. Tenho peito pequeno e a parte superior deste vestido é justa para um visual lisonjeiro. depois que cozinhei o tule no vapor, ficou perfeito! eu pedi um xsp. o comprimento também era perfeito.",5,1,0,Geral,Vestidos,Vestidos
20,847,33,Camisa linda e impecável,"Se este produto fosse pequeno, eu pegaria o pequeno. o normal é um pouco longo para mim, mas um alfaiate pode fazer uma solução simples para isso.

cabe bem! Tenho 5'4, 130 libras e estou grávida, então comprei um tamanho médio para crescer.

a gravata pode ser frontal ou traseira, proporcionando uma boa flexibilidade no ajuste do formato.",4,1,2,Geral,Partes de Cima,Blusas
21,1080,55,Estou dividido!,"Estou chateada porque pelo preço do vestido pensei que fosse bordado! não, isso é uma impressão no tecido. acho que chorei um pouco quando abri a caixa. ainda é muito bonito. eu diria que é fiel ao tamanho, é um pouco grande para mim, mas sou muito pequeno, mas ainda consigo me safar. a cor é vibrante. o estilo é único. a parte da saia é bem fofa. Continuo indo e voltando principalmente por causa do preço, embora a qualidade esteja definitivamente lá. exceto que eu gostaria que fosse incorporado",4,1,14,Geral,Vestidos,Vestidos
22,1077,31,Não é o que parece,"Em primeiro lugar, este não é um estilo pulôver. há um zíper lateral. eu não teria comprado se soubesse que havia um zíper lateral porque tenho um busto grande e zíperes laterais são quase impossíveis para mim.

em segundo lugar, o tule parece barato e a combinação tem um formato estranho e justo por baixo.

de forma alguma o que parece ou é descrito como. infelizmente voltarei, mas tenho certeza que encontrarei algo para trocar!",2,0,7,Geral,Vestidos,Vestidos
23,1077,34,"Goste, mas não ame.","Vestidinho fofo cabe em tts. é um pouco cintura alta. bom comprimento para minha altura de 5'9. gostei do vestido, só não estou apaixonada por ele. não acho que pareça ou pareça barato. parece exatamente como na foto.",3,1,0,Geral,Vestidos,Vestidos
24,847,55,Versátil,"Adoro essa camisa porque quando a vi pela primeira vez não tinha certeza se era uma camisa ou um vestido. como é transparente, se você usá-lo como um vestido, precisará de uma combinação ou com leggings. comprei uma combinação, usei a gravata atrás e arrasei com cunhas brancas. você também pode usá-lo como colete. tenha cuidado com os botões. ainda não tive nenhuma queda, mas sinto que sim. no geral, é ótimo para qualquer ocasião e é divertido de usar!",5,1,0,Geral,Partes de Cima,Blusas
25,697,31,Cai plana,"Adorei o material, mas não olhei muito quanto tempo o vestido durava antes de comprar um grande e um médio. tenho 5'5 ""e havia pelo menos 5"" de material aos meus pés. as lacunas na frente são muito maiores do que parecem. parecia que o vestido simplesmente caiu. ambos foram devolvidos. Geralmente sou grande e o medicamento se ajusta melhor. 36d 30 em jeans",3,0,0,Íntimos,Íntima,Lounge
26,949,33,Grande decepção,"Há semanas que espero o envio deste casaco e estou muito animado para que ele chegue. este casaco não é fiel ao tamanho e me fez parecer baixo e atarracado. as mangas são muito largas (embora compridas). como um casaco leve de outono, as mangas não precisam ser tão largas porque você não colocaria muitas camadas por baixo. os botões precisam ser movidos pelo menos sete centímetros para um ajuste melhor. pensei em refazer os botões sozinho, mas as mangas ficaram ainda mais desproporcionais com uma coxa",2,0,0,Geral,Partes de Cima,Suéteres
27,1003,31,"Amei, mas voltei","As cores também não eram o que eu esperava. o azul escuro é muito mais vibrante e eu simplesmente não consegui encontrar nada que realmente combinasse com ele. o tecido é grosso e de boa qualidade. tem bom peso e movimento. a saia simplesmente não era para mim, no final das contas.",4,1,0,Geral,Partes de Baixo,Saias
28,684,53,Ótima camisa!!!,Eu tenho várias camisas do goodhyouman e recebo muitos elogios por elas. especialmente aquele que diz que beijos na testa são subestimados. não hesite. compre esta camisa. você não vai se arrepender.....,5,1,2,Íntimos,Íntima,Lounge
29,4,28,Ótima peça de camadas,"Este suéter é tão confortável e clássico que equilibra um visual peculiar tricotado à mão com uma cor linda e um ajuste prático. é um pouco cortado e quadradão como parte do estilo e, como outros mencionaram, há lacunas na malha que a tornam transparente. na minha opinião, isso o torna perfeito para camadas! gosto de ter uma camisola mais comprida aparecendo por baixo, ou usá-la por cima de um vestidinho. é quente, mas ainda fino o suficiente para caber sob uma jaqueta ou casaco.",5,1,0,Geral,Partes de Cima,Suéteres
30,1060,33,,Calça lindamente confeccionada e na moda com o corte largo. muito mais fofo pessoalmente. adorei estes!,5,1,0,Geral Petite,Partes de Baixo,Calças
31,1060,46,Mais fofo em Oerson!,"Eu nunca teria dado uma segunda olhada nessas calças online, pessoalmente elas são muito mais fofas! as listras são mais brilhantes e o ajuste mais lisonjeiro. a colheita tem um brilho bonito que está na moda. essa marca sempre foi pequena para mim, tenho 5'8 e cerca de 140 libras e carrego um pouco de gordura na barriga. combinei com um blazer azul marinho solto e sem gola",5,1,7,Geral Petite,Partes de Baixo,Calças
32,1060,21,Amei essas calças,Essas calças são ainda melhores pessoalmente. a única desvantagem é que eles precisam ser lavados a seco.,5,1,0,Geral Petite,Partes de Baixo,Calças
33,949,36,Meh,"Encomendei isso há 3 meses e finalmente saiu do pedido. uma grande decepção. o ajuste não era tanto o problema para mim. a qualidade da lã é inferior. alguém mencionou uma &quot;lã de feltro&quot;... eu acho, é assim que você chama? literalmente parece feltro! super fino, coceira, não cai muito bem e parece barato (fabricado na China). comprei à venda, mas ainda não vale o que paguei. definitivamente voltarei.",2,0,0,Geral,Partes de Cima,Suéteres
34,697,39,Amei esse vestido!,"Este é um vestido tão elegante. a cor é ótima e o tecido é super macio. eu sou alto, então o comprimento longo foi um bônus adicional. definitivamente precisa de algo por baixo desde as aberturas frontais. vou combiná-lo com uma regata descolada, colares e botas. Super fofo!!",5,1,0,Íntimos,Íntima,Lounge
35,1060,65,Amável!,"Não teria dado uma segunda olhada, mas experimentado por capricho. amor Amor!!",4,1,3,Geral Petite,Partes de Baixo,Calças
36,1002,29,,"Esta é uma saia confortável que pode facilmente abranger as estações. embora não seja o design mais interessante, é uma boa saia de trabalho que pode ser combinada com muitos tops.",4,1,5,Geral,Partes de Baixo,Saias
37,949,38,Casaco leve e lindamente cortado,"Acabei de pedir isso em um tamanho pequeno para mim (5'6"", 135, tamanho 4) e médio para minha mãe (5'3"", 130, tamanho 8) e é lindo - lindamente drapeado, todo o peso/calor que eu' Vou precisar para Houston no outono e inverno, parece polido, quebrado ou desmontado. idade apropriada para minha mãe (60 anos) e para mim (30 anos). ficará incrível com jeans skinny ou leggings. pedimos o cinza que é fiel às fotos.",5,1,1,Geral,Partes de Cima,Suéteres
38,684,36,,Macacão super fofo e confortável. o dimensionamento é preciso. o material tem um pouco de elasticidade.,5,1,2,Íntimos,Íntima,Lounge
39,862,59,,Ótimo top casual com flare. fica fofo com jeans pilcro stet cinza. lisonjeiro com peplum nas costas. belo corte para ombros e decote.,5,1,0,Geral,Partes de Cima,Tricôs
40,862,47,,"Bonito e único. ótimo com jeans ou usei para trabalhar com calças e salto alto. as cores, estampas e bordados são lindos. preço razoável!",4,1,1,Geral,Partes de Cima,Tricôs
41,862,40,,"Este é um lindo top. é único e não tão comum. comprei meu meio habitual e descobri que ele cabe bem no meu peito. embora eu tenha tido um bebê este ano e esteja amamentando, pode ser por isso. se eu comprasse novamente eu aumentaria o tamanho.",5,1,0,Geral,Partes de Cima,Tricôs
42,910,23,Suave e adorável,"Esse poncho é tão fofo que adoro o desenho xadrez xadrez, as cores parecem sorvete e creme e vai combinar bem com gola alta e jeans ou saia lápis e salto alto. adoro esse look para o outono e pode rolar direto para a primavera. ótima compra!!",5,1,0,Geral,Partes de Cima,Malha Fina
43,89,67,Algumas coisas que você deveria saber...,"Primeiro, isso é térmico, então naturalmente eu não esperava super transparente, mas é. tecido muito leve e transparente. eu gosto, mas esteja preparado para considerar quem você pode encontrar se andar pela casa com ele. segundo, é grande. Encomendei o tamanho 0 e é um ajuste superdimensionado para meus 5'3 ""e 125 libras. Eu não gostaria de aumentar. Além de ser transparente, o tecido é facilmente esticado, o que não me importo neste caso. por fim, a cor. Ela parece branca no meu monitor e mostra um ponto azul colorido",4,1,1,Íntimos,Íntima,Dormir
44,862,48,Lindo!,"Tentei isso hoje no meu revendedor local e tive que comprar. é tão confortável e lisonjeiro. é uma pena que a foto online mostre a modelo enfiando-a na saia porque você não consegue ver o babado na frente. uma alternativa um pouco mais elegante a uma camiseta simples e com preço razoável para o varejista. 5'8 """" e geralmente uso um 6, o pequeno cai bem. provavelmente estará de volta para o preto!",5,1,9,Geral,Partes de Cima,Tricôs
45,862,43,Adorei o design de dois tons,Comprei esse item online... o caimento no modelo parecia um pouco folgado mas quando comprei o meu pareceu um pouco apertado! então levei de volta à loja e pedi um tamanho maior. pelo preço de venda este é um ótimo top.,4,1,0,Geral,Partes de Cima,Tricôs
46,862,40,,"Eu amo esse topo. Eu uso isso o tempo todo. o problema é que você pode dizer que eu uso isso o tempo todo, pois o tecido começou a desbotar. eu ainda recomendo, pois é muito confortável.",5,1,0,Geral,Partes de Cima,Tricôs
47,823,52,,"Muito confortável, o material é bom, recorte nas mangas que favorece",5,1,0,Geral,Partes de Cima,Blusas
48,910,56,Adorei a cor!,"Esse suéter é perfeito para o outono...é amplo, quentinho, super confortável e a cor realmente chama a atenção.",5,1,0,Geral,Partes de Cima,Malha Fina
49,862,33,Adorei o bordado!,"Top muito fofo! o bordado na gola e babador desse top é lindo e único, recebi muitos elogios e perguntas sobre onde consegui. sou bastante peituda em cima e o médio cabe bem, um pequeno provavelmente caberia melhor, mas ainda é super adorável.",5,1,0,Geral,Partes de Cima,Tricôs
50,862,46,Bonito para o outono,"Este é um top fofo que pode passar facilmente do verão para o outono. veste bem, estampa bonita e é confortável. Experimentei na loja, mas não comprei porque a cor me desbotou. esta não é a melhor cor para uma loira. ficaria muito melhor em uma morena. se fosse de uma cor diferente, provavelmente o teria comprado.",4,1,1,Geral,Partes de Cima,Tricôs
51,862,41,Amor,"Eu absolutamente amo essa camiseta com babador! é provavelmente minha compra favorita no varejo de todos os tempos. tenho 5'7 "", 140 libras e o pequeno foi perfeito para mim. Normalmente uso tops S ou M.",5,1,2,Geral,Partes de Cima,Tricôs
52,1104,39,,"Adoro a cor e o estilo, mas o material se prende facilmente",3,1,3,Geral,Vestidos,Vestidos
53,862,39,Lisonjeiro e confortável,"Muito macio e confortável. a camisa tem uma costura incomum e assimétrica que aparece na frente, lado direito da peça. (o modelo está posicionado de forma que você não possa ver esse detalhe na foto. Anexei uma foto que inclui a costura frontal.) Na verdade, gosto da costura - ela cria mais interesse visual e adiciona um pouco de babado que ajuda esconder minha barriga. a gola do capuz é muito bem feita - há duas camadas que formam o capuz, e descobri que isso significa guarda-roupa malfun",5,1,34,Geral,Partes de Cima,Tricôs
54,862,66,Top fofo,"Belo top. as cavas são um pouco grandes, mas como uma mulher mais velha, sou exigente quanto a isso. a impressão é bonita e incomum. simplesmente não ficou bem em mim. há um leve peplum nas costas que fica bem pendurado. é um tecido leve e opaco. experimentei com um sutiã preto que mal dava para ver. ótimo para climas mais quentes, mas há tantos tops lindos agora que decidi voltar já que o verão está acabando. eu recomendo.",4,1,2,Geral,Partes de Cima,Tricôs
55,862,61,Macio e fofo como pode ser!,Este é um top adorável que considero extremamente confortável. não costumo comprar estampas mas essa é tão feminina e fica ótima com jeans de lavagem escura. eu sou um 36d e o meio se encaixou perfeitamente.,5,1,2,Geral,Partes de Cima,Tricôs
56,368,33,,"Estou grávida e pensei que este seria um ótimo sutiã para dormir. é macio e se ajusta bem, mas não tem suporte ou formato. eu só compraria se você tivesse uma xícara B ou menor e pudesse escapar sem apoio. se eu tivesse visto que esta é a loja, eu teria passado por cima dela. no entanto, eu estava com preguiça de voltar, então estou usando. é confortável, então é uma qualidade redentora. eu não recomendaria para mulheres com peitos maiores!",2,0,3,Íntimos,Íntima,Íntimos
57,862,31,"Frente chata, costas ótimas",Essa regata caiu bem e adorei o babado nas costas e como ficou. mas a frente não estava bonita e vou ajustá-la.,3,0,0,Geral,Partes de Cima,Tricôs
58,1095,36,,"Comprei isso no comprimento pequeno, tamanho O, e serviu perfeitamente. gostei de não ter que alterar o comprimento; pode ser usado com sapatilhas com bastante folga até o chão a partir da bainha inferior. meu único problema com o design é a altura da cintura. Eu pessoalmente acho que o cós elástico parece barato e realmente precisa ser escondido com um cinto, mas por ficar tão alto, literalmente logo abaixo do busto, é complicado de tirar. eu tenho um cinto largo que faz isso",4,1,0,Geral Petite,Vestidos,Vestidos
59,368,52,Macio e confortável,"Tenho procurado bralettes que forneçam algum suporte, mas que não apertem/apertem para a noite e para uso casual. este é um sutiã leve, poderia dar um pouco mais de suporte. cor bonita, com linhas bonitas. a única desvantagem é a etiqueta do varejista na parte de trás - coceira (preciso removê-la).",4,1,1,Íntimos,Íntima,Íntimos
60,1095,41,Vestido lindo!,"Este vestido é simplesmente lindo e deslumbrante. é tão lisonjeiro e mal posso esperar para usá-lo. o tamanho pequeno funcionou para mim e, como sou alto, caiu direto no tornozelo, o que é perfeito para mim. não poderia estar mais feliz com a compra e a fechadura na parte de trás é um lindo detalhe.",5,1,0,Geral Petite,Vestidos,Vestidos
61,368,36,Marcas que coçam,"3 etiquetas costuradas, 2 pequenas (cerca de 1 cm de comprimento) e 1 grande (cerca de 2 cm x 3 cm). muita coceira, então eu os cortei. então o fio que ficou ficou plástico e coçou ainda mais! como você pode fazer um item íntimo com marcas que coçam tanto? não é nada confortável! também - adoro bralettes e uso-os o tempo todo, inclusive para trabalhar. eu sou um copo b. no entanto, este é tão fino e frágil que não dá suporte nem mesmo para um copo b - então para mim este seria apenas um bralette relaxante - se não coçasse tanto!",1,0,0,Íntimos,Íntima,Íntimos
62,862,28,Deve ter,Recentemente coloquei isso à venda depois de olhar para sempre na minha lista de desejos. estou tão feliz com isso. é muito confortável e longo o suficiente para o meu torso (5'3). o padrão na frente é muito lisonjeiro.,5,1,0,Geral,Partes de Cima,Tricôs
63,862,57,Topo fofo! adorei a marca,"Camisa muito confortável, top leve com lindas cores florais. ótimo para primavera/verão com jeans branco. amo tudo que um setembro faz!",5,1,1,Geral,Partes de Cima,Tricôs
64,862,43,Amei esse top,Adorei esse top e fiquei muito feliz em encontrá-lo à venda!,5,1,0,Geral,Partes de Cima,Tricôs
65,862,58,,"Top lindo, mas delicado! usei-o para ir à escola e as alças da minha mochila causaram alguns bolinhas. fora isso é lindo e vibrante! apenas certifique-se de não estar fazendo/vestindo nada que possa esfregar continuamente, pois o tecido é delicado",4,1,2,Geral,Partes de Cima,Tricôs
66,862,60,Top super fofo e único,"Acabei de receber isso pelo correio, experimentei e estou apaixonado. geralmente sou l, mas às vezes sou xl (se não esticar), em tops de varejo. eu comprei este em l e estou muito feliz por ter comprado. muito fluido, elástico e confortável. Também comprei o top de renda meda de setembro e eles são muito parecidos, espero que este seja mais uma camiseta e o outro seja mais uma blusa. quase acho que poderia ter tirado um m nisso porque há muito tecido extra no peito, o que geralmente nunca é o problema para mim",4,1,9,Geral,Partes de Cima,Tricôs
67,862,40,Lindo top,"Amei esse top! Fiquei olhando online e hesitando no tamanho, já que meu corpo pós-bebê está um pouco instável. optei pelo xsp e, milagrosamente, funciona perfeitamente! então, eu diria que é um pouco grande... adoro o comprimento e geralmente não uso tamanhos pequenos no varejo porque gosto dos comprimentos mais longos do normal. mas isso fica perfeito em mim, e tem desistência por cima, então ficou lindo. e é muito macio e confortável. este será o topo desta temporada!",5,1,1,Geral,Partes de Cima,Tricôs
68,862,37,Queria amar esse top...,"Eu realmente amei esse top online e queria amá-lo pessoalmente. é suave e o padrão é bom pessoalmente. o decote é mais alto do que estou acostumada. além disso, há dois botões nas costas que devem ser desabotoados para usar a blusa. é difícil abotoá-los atrás do pescoço com a parte de cima colocada. infelizmente tive que devolver esse item...",2,0,0,Geral,Partes de Cima,Tricôs
69,1078,56,Ótimo tecido de verão!,"Eu realmente queria que isso funcionasse. infelizmente, teve um ajuste estranho para mim. as alças não ficavam levantadas e tinha um ajuste estranho sob o peito. funcionou em pé, mas no minuto em que me sentei caiu dos meus ombros. o tecido ficou lindo! e adorei que tivesse bolsos.",3,0,1,Geral Petite,Vestidos,Vestidos
70,845,38,"Varredura fofa, mas enorme","Este top é tão fofo, mas tem o formato de uma boneca enorme (linha), o que não fica aparente nas fotos. medi os xs que tenho e o peito tem cerca de 42 ""e a varredura tem mais de 70"". eu definitivamente manteria este top se ele ficasse mais reto. o artesanato é adorável e o tecido é tão natural e parece tecido à mão. estou pensando em perguntar à minha alfaiate se ela pode dobrar as laterais, mas isso pode estragar tudo, já que o layout do tecido é cortado e proporcional a esse estilo de balanço.",4,1,10,Geral Petite,Partes de Cima,Blusas
71,822,36,Curto e quadradão,"Por que os designers continuam fazendo tops curtos??!! não consigo imaginar que isso seria lisonjeiro para alguém, especialmente alguém de altura média e bem dotado. eu parecia um jogador de futebol. o padrão e o tecido são lindos, então se você tem cerca de 1,20 m de altura e é super minúsculo e cabe em xxs, isso pode funcionar? eu tenho entre 6-8 e cabe um pequeno e era enorme para mim e quase era maior na parte inferior do que na parte superior. um corte tão estranho. tem uma cami por baixo, então se ela subir vai aparecer, mas isso é tão anos 80",2,0,0,Geral,Partes de Cima,Blusas
72,850,27,Belo design,"Eu tenho um torso curto e isso funciona bem para mim. 34c, comprei o 0. o tecido não estica muito, então fica ajustado no peito, mas não de forma desconfortável. definitivamente não pendura e tem tecido extra como no modelo.

o zíper desce quase até a parte inferior, por isso é mais fácil de colocar e tirar, o que compensa a falta de elasticidade do tecido.

ao contrário de outro crítico, achei que combinava muito bem com calças azul-marinho e usei em uma reunião de negócios por baixo de um blazer. wi",5,1,4,Geral,Partes de Cima,Blusas
73,866,47,,"Eu amo esse topo. é solto e confortável. não é transparente, então você não precisa de uma cami. ele é um pouco grande, então diminua o tamanho se você quiser um ajuste mais personalizado. 1 crítica, ele pega joias ou cintos pontiagudos e pode puxar se você não tomar cuidado.",4,1,0,Geral Petite,Partes de Cima,Tricôs
74,1081,59,,Rejeitei esse vestido tantas vezes na loja e finalmente experimentei hoje porque queria um vestido casual enquanto viajava com a capa. Fiquei surpreso com o quanto ele é mais fofo do que no cabide. diminuí o tamanho para obter uma aparência mais adequada e realmente fez a diferença para mim no estilo. eu não era fã da maneira como parecia tão solto no modelo. parece muito bonito e um pouco sexy até. é forrado e muito confortável e pode ser enfeitado para trabalhar com cardi. acredito que vou me desgastar muito,5,1,1,Geral Petite,Vestidos,Vestidos
75,845,48,"Muito lindo, mas muito tecido","Eu sou tão atraída por bonecas e camisas quadradas, então imediatamente experimentei isso na loja. eu sou pequena e tenho apenas 1,77m, então geralmente camisas com muito tecido me engolem inteiras, mas essa ainda era fofa. tem muito mais tecido do que a foto mostra, mas ainda acho super fofo e lisonjeiro . Eu definitivamente verificaria a tabela de tamanhos e leria os comentários para ver se alguém com a mesma descrição de tamanho recomendou um tamanho específico para o seu tipo de corpo. Sou pequeno e peso cerca de 110 libras",5,1,5,Geral Petite,Partes de Cima,Blusas
76,1082,31,É largo na parte superior e na cintura,"Eu teria adorado esse vestido se o busto e a cintura fossem um pouco mais ajustados. tenho 32 anos e o topo era muito grande. cabe perfeitamente nos quadris. o material da renda significa que não pode ser alterado facilmente, então optei por devolver o vestido. eu definitivamente o teria mantido se fosse um ajuste melhor.",4,1,0,Geral,Vestidos,Vestidos
77,850,28,Zíper quebrou,"O zíper desta peça quebrou na primeira vez que a usei. muito decepcionante, pois adoro o design. na verdade, vou tentar substituir o zíper por algo mais forte, mas é irritante que tenha chegado a esse ponto.",2,0,0,Geral Petite,Partes de Cima,Blusas
78,836,47,Obcecado,"Eu costumo avaliar essa marca. pequeno era perfeito para mim com 135 libras. este top tem um toque luxuoso, mas casual e bonito. estou obcecado e quero usá-lo todos os dias. fica um pouco longo e drapeado, mas um pouco apertado onde enrola nos braços.",5,1,1,Geral,Partes de Cima,Blusas
79,1081,62,Tão fofo... mas limpo a seco?!,"Esse vestido é adorável - é um look casual perfeito para o verão e a qualidade do forro é ótima (embora ainda seja caro, na minha opinião). o detalhe da gravata é um pouco ajustável e achei que meu tamanho normal se ajustava perfeitamente (5'7, 128 #). o que isso me leva é o fato de ser lavado a seco... não faz sentido para um vestido que é essencialmente uma camiseta chique para o verão. posso trazê-lo de volta só por isso, já que originalmente planejei usá-lo muito. :(",4,1,2,Geral Petite,Vestidos,Vestidos
